indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,suministro_electricidad_gas_agua,construccion,sectores_productores_bienes,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_planes_seguridad_social_afiliacion_obligatoria,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_sociales_personales,hogares_privs_servicio_domestico,sectores_productores_servicios,valor_agregado_bruto_precios_basicos,impuesto_valor_agregado,derechos_importacion,impuestos_productos_netos_subsidios,producto_interno_bruto_precios_mercado
2004-01-01,31421.97640663518,1236.088540048434,21667.215975608087,82878.12160534582,7595.814460282292,13856.866762728498,158656.0837506483,57036.23575307913,9098.394250631427,27835.21145232486,13660.437515639325,47316.40277358582,19955.57929312306,15938.57840852854,11594.421809346586,11555.504027950197,2979.0264937318857,216969.79177794082,375625.8755285891,27780.80822952,2705.4046422,33083.77659986344,439195.8650001726
2004-04-01,66759.82195536554,2159.642148997176,23923.544590558293,90585.87725596789,8859.57545800227,14331.374500503418,206619.83590939458,60357.424419729876,6037.553393024843,30468.083336057214,15947.331139800457,51777.57482189022,20633.805521850027,16092.558213971724,13433.942094641658,12210.188901145595,3033.1503419143773,229991.61218402602,436611.44809342065,30680.241993487998,3120.52485308,39086.44830689454,509498.6632468832
2004-07-01,28050.01619328173,1324.9759626992484,25879.95641894664,94949.75306982863,9460.218077643784,15454.411711954039,175119.33143435407,60996.71467780158,6105.146544367468,29502.22771564427,15474.632752684036,54858.08029064916,22128.206804137037,17696.696505372554,13970.542247954489,12498.993467202772,2973.6200455438616,236204.8610513572,411324.1924857113,33774.36826444,3547.3596535200004,39816.46218751214,488462.3825911835
2004-10-01,30268.975897087075,1049.2757573377587,25816.506292065184,99051.57002914094,8894.01431125498,15976.248582812976,181056.59086969894,61748.00691950499,6503.04280216171,31354.078075745078,15235.233553591128,58385.40505269533,23622.62630846737,18501.762669481763,13806.507756493997,12749.470058741472,3185.597359267667,245091.73055615052,426148.3214258494,31672.37800748,3628.52464172,41854.6439857299,503303.8680607793
2005-01-01,35483.00192179488,1917.4291061851275,23859.156438586906,96710.44372108707,9479.605538271691,18521.208718940758,185970.84544486643,66912.24732771321,9202.600042214119,32910.491485884966,17516.005412904324,45634.15552668523,24972.764306940684,19231.682238187455,14290.06277690388,13818.585487418386,3614.9236611543038,248103.51826600658,434074.363710873,33006.13073076,3208.0700018800003,40414.86257160332,510703.4270151163
2005-04-01,70909.11610270003,2633.921994960889,27978.149183175377,106323.42094078904,10574.395039474944,20043.100214701615,238462.1034758019,72818.94980295852,7670.020767175438,37553.25513805522,18255.851485031315,61648.73517123894,25957.631928035225,20629.829691453575,16578.848646631723,14701.35308705195,3539.80159710747,279354.2773147394,517816.38079054124,36710.502726880004,3724.8147716000003,47520.07755748901,605771.7758465102
2005-07-01,34028.26459026955,973.2126578769132,30311.17104173365,108491.37035152048,11648.483699230877,21193.503968053843,206646.00630868535,73347.89923825055,9744.96165841206,36422.0502757322,19003.34198964546,67000.30377005864,27847.489109472474,22464.716407376472,17039.83310086543,15807.143883250683,3565.0447707650897,292242.7842038291,498888.79051251436,38827.053910560004,4132.02842248,48371.68629707488,590219.5591426293
2005-10-01,37898.69758666519,1141.4524260841126,33201.181769923234,115834.46042850864,10712.899432729395,22154.276798081362,220942.96844199195,75802.15679705249,10168.877273235772,38395.20500874378,20201.081240148356,71893.3774738664,31186.927771103892,24873.15840838757,17357.59669626487,16522.949487136713,3699.3245078559116,310100.65466379584,531043.6231057878,38868.80021848,4441.34011164,49104.166308935055,623457.9297448428
2006-01-01,39588.145427645664,2763.0494501858543,37371.32091243869,114644.306752128,10472.130758797155,26135.158010981024,230974.1113121764,82383.28970925687,12614.194415007383,41058.79798205909,21380.549323048137,64554.80186655195,31784.499677440836,24843.349100683285,18245.298226952986,17176.428839017328,4248.33939728804,318289.5485373059,549263.6598494824,42007.15496036001,4547.09142272,47744.47335449856,643562.3795870609
2006-04-01,71886.85710702656,3382.689203139679,42425.06190136443,126623.22036265391,11726.550344896134,26960.693857270933,283005.07277635165,88092.17712969915,10442.12966964557,45549.78429302774,21869.588064618558,70815.50140637808,34131.37240023809,27329.374267239295,21057.831820968055,18922.527508480023,4213.634463730406,342423.92102402495,625428.9938003768,44613.79296296,4807.3104754000005,53139.09002817418,727989.1872669109
2006-07-01,35888.29225418961,2431.978825446818,43688.24514055638,132929.86852165032,12780.206825888026,29699.219035023732,257417.81060275488,91627.02438471414,12245.6246517141,44995.64265230551,22504.974001767114,76364.56797941342,35272.29723358871,28756.353456567478,21604.02817382054,20063.755560178135,4518.030820813193,357952.2989148823,615370.1095176373,48562.049553280005,5433.84562128,59933.49331399869,729299.498006196
2006-10-01,41008.85539106211,1658.3656182490745,40480.17871195595,137754.1640257945,11683.639874071294,30896.141323795662,263481.3449449286,94146.18166488296,12439.379785514388,46641.47926609538,25503.28971412095,81561.62761236375,39064.74895479046,31041.901979426242,21416.22636482585,20316.672184702038,5191.236615916317,377322.74414263834,640804.089087567,53234.238964480006,5767.7394150400005,62959.95460813905,762766.0220752261
2007-01-01,47091.855040836286,2776.26068093516,35372.52472332541,131847.99750442195,12157.580219602625,34202.802896109744,263449.0210652312,101206.10470844268,15981.183004732848,49740.53591627054,26524.006681788233,77398.6003738509,39930.49341020251,31879.097258984686,23531.473177498585,21703.88257027316,5167.518874400181,393062.8959764443,656511.9170416754,53587.98473999999,5941.71558848,58346.170471121324,774387.7878412767
2007-04-01,102532.4929968631,3469.1389121208135,37909.51106138116,147633.1972681955,15099.440711020336,37107.28178504884,343751.0627346297,110045.84551389367,13469.318672684252,57025.12651836871,27134.079006251217,85989.98247439753,44653.71215968817,35399.39976902858,28373.268286721832,22611.569685648534,5369.972032461182,430072.2741191437,773823.3368537733,57907.393668439996,6174.099517559999,66445.55805330722,904350.3880930806
2007-07-01,47773.92389109753,1709.958650950558,40219.850922193946,157883.96872120493,16206.072045004197,42304.49300807537,306098.2672385265,121888.86560400677,15844.0263160249,55927.99709679344,29098.1775982037,93355.5505542359,47704.79305695422,38020.11732338875,28125.007096724323,25843.094013351838,5641.004797599159,461448.633457283,767546.9006958096,66936.50528443999,7473.45748377068,72147.10393789904,914103.9674019193
2007-10-01,60668.89085507912,1362.028517832697,43462.9349792303,174282.58361367512,14039.556132875596,43907.13545054573,337723.1295492386,126980.66921326183,17004.553417911506,59638.97463830848,31833.91126759603,102623.48544896723,52370.187458141416,41170.61507893605,28532.43453392555,25403.40858410862,6177.603222489203,491735.8428636459,829458.9724128846,72245.38675828,8471.89442828,84902.29935189094,995078.5529513356
2008-01-01,65889.4764144126,2478.0928633968347,42522.98960172498,169758.0264343378,17863.398213716442,49906.19964993346,348418.1831775221,135812.75872900852,21210.726114484427,63936.33527724242,32710.39961180233,95966.8624836161,54402.8391834538,43214.277058427775,33451.333920173936,26888.881802837088,6728.312397853857,514322.72657890024,862740.9097564224,73600.98904567999,8286.774261,87728.20019625589,1032356.8732593583
2008-04-01,145075.9045141796,4248.410559613155,40143.446890739324,193751.4064362136,16811.719031551293,54025.674823255984,454056.5622555529,155666.46079857796,18069.039649535836,73960.33518954707,36678.95614421341,108500.88355224603,61292.77180819188,48548.89006901181,40086.07478178847,30162.879433330374,7145.910859473135,580112.2022859161,1034168.7645414692,79688.6834086,8949.8238708,91076.13916816039,1213883.4109890296
2008-07-01,57514.131845318305,2665.9929139241926,43451.84582764367,204003.33329007853,17215.566456428,55960.11862499428,380810.98895838705,156723.9020577532,21326.07470170462,71158.20479586696,38259.0751537242,118251.07777420868,64199.818535415834,51952.57048441397,40670.034161408126,32924.27243524172,7611.120419441326,603076.1505191787,983887.1394775657,85000.89599968,9422.490101200001,105381.74412802764,1183692.2697064732
